 Symbol     Z      N      A               be           Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   S        16     10     26          -174.914319                0.698684              -18.925753            -0.000003            -0.000005              -0.000004              -0.000007                  -0.000005                     -0.000012                   1.813417                1.769676              3.269231             2.858659               3.117724              -0.410572              3.378951          2.621002        1.578888       21.766914      39.192016          -7.945240            
   S        16     12     28          -210.783114               -1.531376              -17.084494            -0.000006            -0.000009              -0.000007              -0.000012                  -0.000012                     -0.000024                   1.736123                1.840144              3.206063             2.955181               3.101029              -0.250882              3.315685          4.789727        5.998882       19.739307      35.868795          -9.147683            
   S        16     14     30          -243.434370               -3.809004              -14.952319            -0.000003            -0.000004              -0.000004              -0.000007                  -0.000006                     -0.000013                   1.652520                1.850737              3.176519             3.038965               3.113083              -0.137554              3.284918          7.251879       11.073204       18.171068      32.651256         -10.350138            
   S        16     16     32          -270.277757               -6.128871              -11.961991            -0.000002            -0.000002              -0.000002              -0.000004                  -0.000003                     -0.000007                   1.616755                1.725807              3.175132             3.134706               3.154984              -0.040426              3.281366          9.550961       15.741485       15.209966      26.843387          -9.616591            
   S        16     18     34          -291.534137               -8.460946               -9.912482            -0.000001            -0.000001              -0.000001              -0.000003                  -0.000003                     -0.000005                   1.567663                1.649961              3.194352             3.237568               3.217304               0.043216              3.297768         11.836528       20.360916       12.316074      21.256380          -8.697865            
   S        16     20     36          -309.296024              -10.710880               -7.950808            -0.000001            -0.000001              -0.000001              -0.000002                  -0.000002                     -0.000004                   1.513677                1.716116              3.216695             3.327267               3.278584               0.110572              3.317228         13.982696       24.722225       10.563982      17.761887          -9.822803            
   S        16     22     38          -322.320968              -12.829837               -6.221204            -0.000003            -0.000002              -0.000002              -0.000006                  -0.000007                     -0.000013                   1.477101                1.505381              3.234204             3.408142               3.336010               0.173938              3.332032         16.010464       28.829325        8.123221      13.024944          -9.447169            
   S        16     24     40          -333.667836              -14.786207               -5.393990             0.105474             0.110305               0.108531               0.226108                   0.407565                      0.633673                   1.470016                1.537529              3.258894             3.493340               3.401501               0.234446              3.353840         17.683691       32.273054        7.194889      11.346868         -11.876193            
   S        16     26     42          -343.934733              -16.582749               -4.607510             0.153419             0.154538               0.154156               0.334495                   0.648684                      0.983179                   1.479313                1.517059              3.286552             3.577313               3.469421               0.290761              3.378574         19.555535       36.058748        6.660742      10.266897         -14.239951            
   S        16     28     44          -352.464024              -18.249675               -3.900656            -0.139412            -0.134956              -0.136375              -0.307239                  -0.636777                     -0.944016                   1.411659                1.469971              3.304255             3.654798               3.531356               0.350543              3.393660         21.072845       39.074483        5.758161       8.529291         -16.288039            
   S        16     30     46          -359.314460              -19.798302               -3.199452            -0.000004            -0.000003              -0.000004              -0.000009                  -0.000018                     -0.000026                   1.359923                1.369981              3.306660             3.723847               3.584250               0.417187              3.393864         22.564854       42.156108        4.845194       6.850436         -17.624919            
